Removed Pin From Net: NetName=-2V5 Pin=-2V5-1
Removed Pin From Net: NetName=3V3 Pin=C16-1
Removed Pin From Net: NetName=GND Pin=C16-2
Removed Pin From Net: NetName=GND Pin=C17-2
Removed Pin From Net: NetName=+5V0 Pin=C25-1
Removed Pin From Net: NetName=GND Pin=C25-2
Removed Pin From Net: NetName=-2V5 Pin=C29-2
Removed Pin From Net: NetName=-2V5 Pin=C48-1
Removed Pin From Net: NetName=GND Pin=C48-2
Removed Pin From Net: NetName=-2V5 Pin=C49-1
Removed Pin From Net: NetName=GND Pin=C49-2
Removed Pin From Net: NetName=VA_TP_GAIN Pin=R4-2
Removed Pin From Net: NetName=GND Pin=R13-1
Removed Pin From Net: NetName=GND Pin=R15-1
Removed Pin From Net: NetName=-2V5 Pin=R24-2
Removed Pin From Net: NetName=3V3 Pin=R28-1
Removed Pin From Net: NetName=NetC47_2 Pin=R31-1
Removed Pin From Net: NetName=V_offset_adj Pin=R31-2
Removed Pin From Net: NetName=-2V5 Pin=R33-1
Removed Pin From Net: NetName=GND Pin=R33-2
Removed Pin From Net: NetName=NetC47_2 Pin=U4-2
Removed Pin From Net: NetName=NetQ3_3 Pin=U4-3
Removed Pin From Net: NetName=-2V5 Pin=U4-4
Removed Pin From Net: NetName=I_Sample Pin=U4-5
Removed Pin From Net: NetName=NetC30_2 Pin=U4-6
Removed Pin From Net: NetName=NetC30_1 Pin=U4-7
Removed Pin From Net: NetName=+VIN_SW Pin=U4-8
Removed Pin From Net: NetName=-2V5 Pin=U5-2
Removed Pin From Net: NetName=-2V5 Pin=U5-3
Removed Pin From Net: NetName=-2V5 Pin=U5-6
Removed Pin From Net: NetName=-2V5 Pin=U5-7
Removed Pin From Net: NetName=3V3 Pin=U8-1
Removed Pin From Net: NetName=VA_TP_GAIN Pin=U9-1
Removed Pin From Net: NetName=VA_TP Pin=U9-3
Removed Pin From Net: NetName=IA_TP Pin=U9-5
Removed Pin From Net: NetName=GND Pin=U12-1
Removed Pin From Net: NetName=+5V0 Pin=U12-2
Removed Pin From Net: NetName=Net-5V0_1 Pin=U12-3
Removed Pin From Net: NetName=GND Pin=U12-4
Removed Pin From Net: NetName=GND Pin=U13-1
Removed Pin From Net: NetName=Net-5V0_1 Pin=U13-2
Removed Pin From Net: NetName=Net-5V0_1 Pin=U13-3
Removed Pin From Net: NetName=-2V5 Pin=U13-5
Removed Member From Class: ClassName=lps_regulator_rev_e Member=-2V5
Removed Member From Class: ClassName=lps_regulator_rev_e Member=C48
Removed Member From Class: ClassName=lps_regulator_rev_e Member=C49
Removed Member From Class: ClassName=lps_regulator_rev_e Member=C50
Removed Member From Class: ClassName=lps_regulator_rev_e Member=R33
Removed Member From Class: ClassName=lps_regulator_rev_e Member=U14
Change Component Footprint: Designator=U8 Old Footprint=SOT23 New Footprint=TCA9534APWR-Footprint-1
Change Component Footprint: Designator=U13 Old Footprint=SOt-23-5 New Footprint=SOt-23-6
Change Component Comment : Designator=C30 Old Comment=0.1uF New Comment=10uF
Change Component Comment : Designator=U8 Old Comment=ISL21010CF315Z New Comment=TCA9534APWR
Change Component Comment : Designator=U10 Old Comment=LD29150DT50R New Comment=
Change Component Comment : Designator=U13 Old Comment=TPS723 New Comment=LM2776
Change Component Designator: OldDesignator=+5V0 NewDesignator=+2
Change Component Designator: OldDesignator=+VIN_SW NewDesignator=+VIN_SW1
Change Component Designator: OldDesignator=-5V0 NewDesignator=-1
Change Component Designator: OldDesignator=3V3 NewDesignator=1
Change Component Designator: OldDesignator=C1 NewDesignator=C26
Change Component Designator: OldDesignator=C2 NewDesignator=C36
Change Component Designator: OldDesignator=C3 NewDesignator=C16
Change Component Designator: OldDesignator=C4 NewDesignator=C24
Change Component Designator: OldDesignator=C5 NewDesignator=C25
Change Component Designator: OldDesignator=C6 NewDesignator=C34
Change Component Designator: OldDesignator=C7 NewDesignator=C27
Change Component Designator: OldDesignator=C8 NewDesignator=C17
Change Component Designator: OldDesignator=C9 NewDesignator=C18
Change Component Designator: OldDesignator=C10 NewDesignator=C12
Change Component Designator: OldDesignator=C11 NewDesignator=C13
Change Component Designator: OldDesignator=C12 NewDesignator=C14
Change Component Designator: OldDesignator=C13 NewDesignator=C19
Change Component Designator: OldDesignator=C14 NewDesignator=C39
Change Component Designator: OldDesignator=C15 NewDesignator=C30
Change Component Designator: OldDesignator=C18 NewDesignator=C29
Change Component Designator: OldDesignator=C19 NewDesignator=C31
Change Component Designator: OldDesignator=C21 NewDesignator=C40
Change Component Designator: OldDesignator=C22 NewDesignator=C41
Change Component Designator: OldDesignator=C23 NewDesignator=C45
Change Component Designator: OldDesignator=C24 NewDesignator=C42
Change Component Designator: OldDesignator=C26 NewDesignator=C37
Change Component Designator: OldDesignator=C27 NewDesignator=C46
Change Component Designator: OldDesignator=C28 NewDesignator=C43
Change Component Designator: OldDesignator=C29 NewDesignator=C28
Change Component Designator: OldDesignator=C30 NewDesignator=C32
Change Component Designator: OldDesignator=C31 NewDesignator=C35
Change Component Designator: OldDesignator=C32 NewDesignator=C6
Change Component Designator: OldDesignator=C33 NewDesignator=C1
Change Component Designator: OldDesignator=C34 NewDesignator=C4
Change Component Designator: OldDesignator=C35 NewDesignator=C5
Change Component Designator: OldDesignator=C36 NewDesignator=C7
Change Component Designator: OldDesignator=C37 NewDesignator=C8
Change Component Designator: OldDesignator=C38 NewDesignator=C9
Change Component Designator: OldDesignator=C39 NewDesignator=C20
Change Component Designator: OldDesignator=C40 NewDesignator=C21
Change Component Designator: OldDesignator=C41 NewDesignator=C22
Change Component Designator: OldDesignator=C42 NewDesignator=C15
Change Component Designator: OldDesignator=C43 NewDesignator=C2
Change Component Designator: OldDesignator=C44 NewDesignator=C11
Change Component Designator: OldDesignator=C45 NewDesignator=C3
Change Component Designator: OldDesignator=C46 NewDesignator=C10
Change Component Designator: OldDesignator=C47 NewDesignator=C23
Change Component Designator: OldDesignator=C50 NewDesignator=C38
Change Component Designator: OldDesignator=CN1 NewDesignator=CN3
Change Component Designator: OldDesignator=CN2 NewDesignator=CN5
Change Component Designator: OldDesignator=CN3 NewDesignator=CN1
Change Component Designator: OldDesignator=CN4 NewDesignator=CN2
Change Component Designator: OldDesignator=CN5 NewDesignator=CN4
Change Component Designator: OldDesignator=D1 NewDesignator=D3
Change Component Designator: OldDesignator=D2 NewDesignator=D1
Change Component Designator: OldDesignator=D3 NewDesignator=D2
Change Component Designator: OldDesignator=GND3 NewDesignator=GND2
Change Component Designator: OldDesignator=GND4 NewDesignator=GND3
Change Component Designator: OldDesignator=GND5 NewDesignator=GND4
